     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        16,         1,         0,    1.06,beam8_230iters,672abda9531b3bcb92ed27039fc2527d0eaf09a3437c24f5dbc900f8b1d46752,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
        16,         0,         0,   0.327,beam8_230iters,a7a3038bdade5759eb277cc0aff57bcb5ca7039159cbf76212fa764bdb0e0021,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
        16,         0,         0,   0.580,bp30+osd,ac9f2252bd465f3f567f90d47747947b64f08d1327943c6f01ea9c2cf73c3fa3,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""z""}",
        16,         1,         0,   0.794,bp30+osd,1d1e1f7ca6cae849c57b14c909485ff8db577de9d317d8b243e9d31430d1fec8,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""x""}",
        32,         1,         0,    3.32,beam64_640iters,b4a201834150cff641a0e8429e7946ad406ac866751feb98485761208ffa32ee,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""x""}",
         3,         0,         0,   0.019,beam64_640iters,b4a201834150cff641a0e8429e7946ad406ac866751feb98485761208ffa32ee,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""x""}",
        16,         0,         0,   0.754,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
        16,         0,         0,   0.559,beam8_230iters,672abda9531b3bcb92ed27039fc2527d0eaf09a3437c24f5dbc900f8b1d46752,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
        15,         0,         0,   0.291,bp30+osd,1d1e1f7ca6cae849c57b14c909485ff8db577de9d317d8b243e9d31430d1fec8,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""x""}",
         8,         2,         0,   0.715,bp30+osd,3137367ea626f06daa7404876178fb9efa4f0784493fe7b464e33905c3cde508,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
        16,         1,         0,   0.635,beam8_230iters,a7a3038bdade5759eb277cc0aff57bcb5ca7039159cbf76212fa764bdb0e0021,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
        59,         1,         0,    1.63,beam64_640iters,26bfa75fb830de6459c3a77c02167ae821cd39b443b87f6c9feb3948ec5db155,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""x""}",
        16,         0,         0,   0.946,bp30+osd,ac9f2252bd465f3f567f90d47747947b64f08d1327943c6f01ea9c2cf73c3fa3,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""z""}",
        16,         0,         0,   0.486,beam8_230iters,a7a3038bdade5759eb277cc0aff57bcb5ca7039159cbf76212fa764bdb0e0021,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         1,         0,         0,   0.003,bp30+osd,ac9f2252bd465f3f567f90d47747947b64f08d1327943c6f01ea9c2cf73c3fa3,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""z""}",
         8,         1,         0,   0.494,bp30+osd,3137367ea626f06daa7404876178fb9efa4f0784493fe7b464e33905c3cde508,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
        32,         0,         0,    1.55,beam64_640iters,703ac29768f42941ff915b33fae9bb372e8680ca599025cb7db5abd457b64052,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""z""}",
        16,         2,         0,   0.826,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         1,         0,         0,   0.008,beam64_640iters,703ac29768f42941ff915b33fae9bb372e8680ca599025cb7db5abd457b64052,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""z""}",
         2,         0,         0,   0.030,beam64_640iters,703ac29768f42941ff915b33fae9bb372e8680ca599025cb7db5abd457b64052,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""z""}",
         4,         1,         0,   0.203,bp30+osd,ac9f2252bd465f3f567f90d47747947b64f08d1327943c6f01ea9c2cf73c3fa3,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""z""}",
         7,         1,         0,   0.152,bp30+osd,ac9f2252bd465f3f567f90d47747947b64f08d1327943c6f01ea9c2cf73c3fa3,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""z""}",
        16,         1,         0,    1.02,beam8_230iters,672abda9531b3bcb92ed27039fc2527d0eaf09a3437c24f5dbc900f8b1d46752,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         0,         0,   0.010,beam8_230iters,672abda9531b3bcb92ed27039fc2527d0eaf09a3437c24f5dbc900f8b1d46752,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         8,         3,         0,   0.516,bp30+osd,3137367ea626f06daa7404876178fb9efa4f0784493fe7b464e33905c3cde508,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
        11,         2,         0,   0.595,bp30+osd,ac9f2252bd465f3f567f90d47747947b64f08d1327943c6f01ea9c2cf73c3fa3,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""z""}",
        16,         0,         0,   0.163,beam8_230iters,672abda9531b3bcb92ed27039fc2527d0eaf09a3437c24f5dbc900f8b1d46752,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         0,         0,   0.004,beam8_230iters,672abda9531b3bcb92ed27039fc2527d0eaf09a3437c24f5dbc900f8b1d46752,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
        17,         1,         0,   0.813,bp30+osd,3137367ea626f06daa7404876178fb9efa4f0784493fe7b464e33905c3cde508,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
        10,         1,         0,   0.450,beam8_230iters,672abda9531b3bcb92ed27039fc2527d0eaf09a3437c24f5dbc900f8b1d46752,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
        16,         2,         0,   0.917,beam8_230iters,a7a3038bdade5759eb277cc0aff57bcb5ca7039159cbf76212fa764bdb0e0021,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
        16,         2,         0,   0.839,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         4,         0,         0,   0.064,beam8_230iters,672abda9531b3bcb92ed27039fc2527d0eaf09a3437c24f5dbc900f8b1d46752,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         0,         0,   0.038,beam8_230iters,a7a3038bdade5759eb277cc0aff57bcb5ca7039159cbf76212fa764bdb0e0021,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         8,         2,         0,   0.454,bp30+osd,3137367ea626f06daa7404876178fb9efa4f0784493fe7b464e33905c3cde508,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         0,         0,   0.078,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         3,         0,         0,   0.137,beam8_230iters,672abda9531b3bcb92ed27039fc2527d0eaf09a3437c24f5dbc900f8b1d46752,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         2,         0,         0,   0.133,beam8_230iters,a7a3038bdade5759eb277cc0aff57bcb5ca7039159cbf76212fa764bdb0e0021,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         5,         2,         0,   0.242,bp30+osd,3137367ea626f06daa7404876178fb9efa4f0784493fe7b464e33905c3cde508,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         8,         0,         0,   0.269,beam8_230iters,a7a3038bdade5759eb277cc0aff57bcb5ca7039159cbf76212fa764bdb0e0021,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         7,         0,         0,   0.183,beam8_230iters,a7a3038bdade5759eb277cc0aff57bcb5ca7039159cbf76212fa764bdb0e0021,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         1,         0,         0,   0.017,beam8_230iters,a7a3038bdade5759eb277cc0aff57bcb5ca7039159cbf76212fa764bdb0e0021,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         5,         0,         0,   0.276,bp30+osd,3137367ea626f06daa7404876178fb9efa4f0784493fe7b464e33905c3cde508,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         4,         0,         0,   0.276,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
        16,         1,         0,    2.72,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         0,         0,   0.034,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         0,         0,   0.059,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         5,         0,         0,   0.213,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
        10,         2,         0,   0.612,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         3,         0,         0,   0.216,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
        12,         1,         0,   0.367,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         4,         2,         0,   0.276,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         7,         1,         0,   0.397,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
        17,         0,         0,    4.14,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         1,         0,         0,   0.005,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         1,         0,         0,   0.006,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         1,         0,         0,   0.007,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         1,         0,         0,   0.008,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
        16,         0,         0,   0.225,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         7,         0,         0,    1.38,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         0,         0,    2.04,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         0,         0,   0.057,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         4,         0,         0,   0.048,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         4,         0,         0,   0.195,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
        16,         2,         0,    1.66,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
        14,         1,         0,    2.42,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         8,         2,         0,    3.85,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         2,         0,         0,   0.009,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         0,         0,   0.031,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         0,         0,   0.011,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         3,         0,         0,   0.151,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
        16,         3,         0,    3.20,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         3,         1,         0,    3.80,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         3,         0,         0,    2.19,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         8,         2,         0,    6.38,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         1,         0,         0,   0.005,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         1,         0,         0,   0.038,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         1,         0,         0,   0.173,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         1,         1,         0,    1.36,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         4,         0,         0,    2.07,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         1,         0,         0,   0.016,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
